"first_gene" "second_gene" ""
"1" "AAK1" "GNPTAB" "2"
"2" "AAK1" "RAB22A" "2"
"3" "ABCA1" "CASP2" "2"
"4" "ABCA1" "GAB1" "2"
"5" "ABCA1" "HAS2" "2"
"6" "ABCA1" "SKI" "2"
"7" "ABCC9" "KCNMA1" "2"
"8" "ABHD2" "DHODH" "2"
"9" "ABHD2" "EZH1" "2"
"10" "ABHD2" "PCNXL2" "2"
"11" "ABHD2" "QKI" "2"
"12" "ABHD6" "E4F1" "2"
"13" "ABI2" "ADAR" "2"
"14" "ABI2" "GNS" "2"
"15" "ABI2" "RUNX3" "2"
"16" "ABI2" "TCF7L1" "2"
"17" "ACADSB" "HIF1A" "2"
"18" "ACADSB" "OPTN" "2"
"19" "ACADSB" "RTN2" "2"
"20" "ACAP2" "CLIP4" "2"
"21" "ACAP2" "SRCAP" "2"
"22" "ACOX1" "CHD4" "2"
"23" "ACOX1" "SPTLC2" "2"
"24" "ACSL4" "BTN3A3" "2"
"25" "ACTB" "ACTG1" "2"
"26" "ACTR2" "ARPC2" "2"
"27" "ACTR2" "CAP1" "2"
"28" "ACTR2" "PARD3" "2"
"29" "ACTR2" "TMEM165" "2"
"30" "ACTR2" "TNFRSF21" "2"
"31" "ACVR1B" "TNFRSF21" "2"
"32" "ACVR1B" "DENND5B" "2"
"33" "ACVR1B" "WAC" "2"
"34" "ADAMTS17" "LSM11" "2"
"35" "ADAR" "YWHAZ" "2"
"36" "ADAR" "DNM1L" "2"
"37" "ADARB1" "ZBTB5" "2"
"38" "ADD1" "CPOX" "2"
"39" "ADD1" "HNRNPU" "2"
"40" "ADD1" "LARP1" "2"
"41" "AFF1" "AGO3" "2"
"42" "AGFG2" "TRIM37" "2"
"43" "AGFG2" "U2SURP" "2"
"44" "AGFG2" "VDAC1" "2"
"45" "AGFG2" "ZNF107" "2"
"46" "AGGF1" "NAP1L1" "2"
"47" "AGGF1" "NBPF1" "2"
"48" "AGMAT" "CNOT7" "2"
"49" "AGMAT" "NOTCH2" "2"
"50" "AGMAT" "PTGIS" "2"
"51" "AGO1" "ERLIN1" "2"
"52" "AGO1" "BTBD7" "2"
"53" "AGO3" "HS3ST1" "2"
"54" "AGO3" "SSX2IP" "2"
"55" "AGO3" "TCF4" "2"
"56" "AIF1" "TYROBP" "2"
"57" "AK1" "MYCBP2" "2"
"58" "AK1" "SOX4" "2"
"59" "AKAP11" "IFNAR1" "2"
"60" "AKAP11" "CBL" "2"
"61" "AKAP11" "LAS1L" "2"
"62" "AKR7A2" "LARP1" "2"
"63" "AKR7A2" "METTL8" "2"
"64" "AKR7A2" "PEX11A" "2"
"65" "AKR7A2" "PNPLA4" "2"
"66" "AKTIP" "ATG14" "2"
"67" "AKTIP" "GTF2H3" "2"
"68" "ALDH9A1" "WWC1" "2"
"69" "AMD1" "CD28" "2"
"70" "ANGEL1" "CHAC1" "2"
"71" "ANGPT4" "ORAI2" "2"
"72" "ANKRD12" "CRCP" "2"
"73" "ANKRD12" "TRA2B" "2"
"74" "ANKRD12" "HMBOX1" "2"
"75" "ANKRD27" "MCL1" "2"
"76" "APEX1" "CASP2" "2"
"77" "APEX1" "KIAA0101" "2"
"78" "APEX1" "TCF3" "2"
"79" "APOC3" "NPFFR1" "2"
"80" "APOH" "ELAVL2" "2"
"81" "APOH" "PTGFRN" "2"
"82" "APOH" "VDAC1" "2"
"83" "APOH" "SORCS2" "2"
"84" "APOH" "UBR5" "2"
"85" "APP" "KIAA0101" "2"
"86" "ARAP2" "MBNL1" "2"
"87" "ARAP2" "POLR3G" "2"
"88" "ARCN1" "RBBP7" "2"
"89" "ARCN1" "SLC25A44" "2"
"90" "ARHGAP1" "ESR2" "2"
"91" "ARHGAP1" "FTH1" "2"
"92" "ARID4B" "CTSS" "2"
"93" "ARIH1" "GABPB1" "2"
"94" "ARL1" "MARCH6" "2"
"95" "ARL1" "RFK" "2"
"96" "ARL1" "SCD" "2"
"97" "ARL2BP" "SH3PXD2A" "2"
"98" "ARL6IP1" "SUMO1" "2"
"99" "ARL9" "CPS1" "2"
"100" "ARL9" "DNAJC28" "2"
"101" "ARL9" "HIST1H4C" "2"
"102" "ARL9" "LUZP2" "2"
"103" "ARL9" "PKMYT1" "2"
"104" "ARL9" "SOCS6" "2"
"105" "ARL9" "SPIB" "2"
"106" "ARL9" "TNFSF12" "2"
"107" "ARL9" "ZNF780A" "2"
"108" "ARPC2" "LPIN1" "2"
"109" "ARPC2" "RBM5" "2"
"110" "ARPC5" "CD22" "2"
"111" "ARPP19" "EIF1AX" "2"
"112" "ASB1" "C7ORF43" "2"
"113" "ASB1" "NFIB" "2"
"114" "ASB1" "THBS1" "2"
"115" "ASB1" "RUNX3" "2"
"116" "ASH1L" "GNB5" "2"
"117" "ASIC1" "THSD7A" "2"
"118" "ASNS" "PRPF8" "2"
"119" "ATAD2" "KLHL20" "2"
"120" "ATAT1" "NCOA3" "2"
"121" "ATAT1" "RFXANK" "2"
"122" "ATAT1" "SAMD12" "2"
"123" "ATG14" "SUV420H1" "2"
"124" "ATG16L1" "MCL1" "2"
"125" "ATG2A" "PRKACB" "2"
"126" "ATG2A" "PRR14L" "2"
"127" "ATL3" "RAB5B" "2"
"128" "ATP1B3" "GNAS" "2"
"129" "ATP1B3" "SLC25A3" "2"
"130" "ATP1B3" "PTP4A1" "2"
"131" "ATP2C1" "XPNPEP1" "2"
"132" "ATP2C2" "GP2" "2"
